Year,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,TaxiIn,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,MonthName,IsDelayed,DelayCategory,SpeedMph,TotalGround
2024,4,29,1,2024-04-29,OO,ORD,"Chicago, IL",IL,CAK,"Akron, OH",OH,-2.0,0.0,0.0,22.0,5.0,-6.0,0.0,0.0,0.0,,0.0,89.0,85.0,58.0,343.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,354.83,27.0
2024,4,16,2,2024-04-16,B6,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,13.0,13.0,0.0,22.0,10.0,3.0,3.0,0.0,0.0,,0.0,203.0,193.0,161.0,1189.0,5,0.0,0.0,0.0,0.0,0.0,February,0,Minor Delay,443.11,32.0
2024,1,25,4,2024-01-25,WN,DAL,"Dallas, TX",TX,SMF,"Sacramento, CA",CA,0.0,0.0,0.0,13.0,4.0,-10.0,0.0,0.0,0.0,,0.0,225.0,215.0,198.0,1442.0,6,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,436.97,17.0
2024,4,23,2,2024-04-23,WN,RSW,"Fort Myers, FL",FL,STL,"St. Louis, MO",MO,-3.0,0.0,0.0,9.0,5.0,-10.0,0.0,0.0,0.0,,0.0,155.0,148.0,134.0,979.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,438.36,14.0
2024,4,13,6,2024-04-13,UA,ORD,"Chicago, IL",IL,PSP,"Palm Springs, CA",CA,-6.0,0.0,0.0,23.0,8.0,-6.0,0.0,0.0,0.0,,0.0,273.0,273.0,242.0,1651.0,7,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,409.34,31.0
2024,3,24,7,2024-03-24,9E,DSM,"Des Moines, IA",IA,LGA,"New York, NY",NY,-4.0,0.0,0.0,14.0,5.0,-10.0,0.0,0.0,0.0,,0.0,156.0,150.0,131.0,1031.0,5,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,472.21,19.0
2024,1,17,3,2024-01-17,OO,CLE,"Cleveland, OH",OH,DTW,"Detroit, MI",MI,16.0,16.0,1.0,7.0,5.0,-5.0,0.0,0.0,0.0,,0.0,60.0,39.0,27.0,95.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,211.11,12.0
2024,3,1,5,2024-03-01,WN,ITO,"Hilo, HI",HI,HNL,"Honolulu, HI",HI,-6.0,0.0,0.0,11.0,4.0,-7.0,0.0,0.0,0.0,,0.0,60.0,59.0,44.0,216.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,294.55,15.0
2024,1,31,3,2024-01-31,9E,LGA,"New York, NY",NY,SAV,"Savannah, GA",GA,-4.0,0.0,0.0,17.0,4.0,-36.0,0.0,0.0,0.0,,0.0,149.0,117.0,96.0,722.0,3,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,451.25,21.0
2024,2,16,5,2024-02-16,UA,IAH,"Houston, TX",TX,ORD,"Chicago, IL",IL,-5.0,0.0,0.0,19.0,27.0,-5.0,0.0,0.0,0.0,,0.0,162.0,162.0,116.0,925.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,478.45,46.0
